ProductURL,ProductName,RootCate,SubCate,CurrentPrice,TimeStamp
https://www.target.com/p/-/A-78858698,Valor Clear Tempered Glass LCD Screen Protector Film Cover For Samsung Galaxy A20/A50,Electronics,Tech Accessories,8.99,22/01/2022 23:18:56
https://www.target.com/p/-/A-82789319,Chaka Khan - Hello Happiness (LP) (Vinyl),"Movies, Music & Books",Vinyl Records,18.99,22/01/2022 23:18:58
https://www.target.com/p/-/A-80397837,Dexter Gordon - One Flight Up (LP) (Vinyl),"Movies, Music & Books",Vinyl Records,19.99,22/01/2022 23:19:01
https://www.target.com/p/-/A-80829748,Guide to Producing a Fashion Show - 4th Edition by  Judith C Everett & Kristen K Swanson & Jose Blanco F (Paperback),"Movies, Music & Books","Art, Photography & Design Books",95.0,22/01/2022 23:19:04
https://www.target.com/p/-/A-79511129,The Wiggles: Emma! Season 2 Emmatastic! (DVD)(2020),"Movies, Music & Books",Movies,9.99,22/01/2022 23:19:06
https://www.target.com/p/-/A-82390252,ClearOne COLLABORATE Versa Pro 150 Video Conference Equipment - x Network (RJ-45) x HDMI OutAudio Line In - Audio Line Out - USB - Gigabit Ethernet,Electronics,Computers & Office,2355.99,22/01/2022 23:19:09
https://www.target.com/p/-/A-80718224,Far Cry 6: Gold Edition Steelbook - Xbox One/Series X,Video Games,Xbox Series X|S,109.99,22/01/2022 23:19:12
https://www.target.com/p/-/A-81272486,Sector 7 (DVD)(2012),"Movies, Music & Books",Movies,11.89,22/01/2022 23:19:14
https://www.target.com/p/-/A-76766711,"Monoprice Audio Cable Cord - 35 Feet - Black | 1/4 Inch (TS) Male to Male -16AWG, Gold Plated - Premier Series",Electronics,TV Accessories,29.99,22/01/2022 23:19:17
https://www.target.com/p/-/A-78822593,Path To War (DVD)(2013),"Movies, Music & Books",Movies,17.99,22/01/2022 23:19:20
https://www.target.com/p/-/A-77836289,A Place of Quiet Rest - by  Nancy DeMoss Wolgemuth (Paperback),"Movies, Music & Books",Non-Fiction,15.99,22/01/2022 23:19:23
